001|PERAK|KL|2024-07-06|0800|1000|T01|6|8.00
002|KL|PERAK|2024-08-19|1000|0800|T02|9|8.00
003|KL|PENANG|2024-07-10|0900|1200|T03|11|10.00
004|PENANG|KL|2024-07-12|1300|1600|T04|18|10.00
005|JOHOR|SINGAPORE|2024-07-15|0800|1000|T01|16|6.00
006|SINGAPORE|JOHOR|2024-07-17|1100|1300|T02|18|6.00
007|PERAK|PENANG|2024-07-20|1000|1200|T03|19|6.00
008|PENANG|KL|2024-07-22|1400|1600|T01|19|10.00
009|PENANG|JOHOR|2024-07-25|0900|1100|T04|18|7.00
010|KL|PENANG|2024-07-27|1200|1400|T02|20|10.00
011|KL|KUANTAN|2024-08-01|0800|1000|T03|20|5.00
012|KUANTAN|KL|2024-08-03|1100|1300|T01|20|5.00
013|KUCHING|MIRI|2024-08-06|0900|1100|T02|20|3.00
014|MIRI|KUCHING|2024-08-08|1200|1400|T01|20|3.00
015|IPOH|KL|2024-08-11|0800|0900|T04|20|5.00
016|KL|IPOH|2024-08-13|1000|1100|T03|20|5.00
017|SINGAPORE|KL|2024-08-16|0900|1100|T04|15|15.00
018|KL|SINGAPORE|2024-08-18|1200|1400|T02|18|15.00
019|PERLIS|SINGAPORE|2024-08-21|1000|1200|T03|18|20.00
020|SINGAPORE|PENANG|2024-08-23|1400|1600|T04|17|20.00
